,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
F1,0,1,2,0,2,1,2,3,3,0,1,0,0,0,0
F2,0,0,3,2,2,1,2,1,0,2,3,0,0,0,0
F3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
F4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
F9,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
F10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
F11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
F12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F13,0,0,3,2,0,0,0,2,0,0,0,0,0,2,0
F14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
F15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
